Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
2024-05-07,17:16:38,CNR1094510,Cancelled by Driver,778657,Auto,Banashankari,Sanjay Nagar,,,0,,1,Customer related issue,0,,,,,
2024-05-04,02:19:10,CNR9120228,Success,804501,Prime SUV,New BEL Road,Bannerghatta Road,6.77,13.1,0,,0,,0,,410,4.59,4.2,4.4
2024-05-11,11:12:27,CNR9816707,Success,541262,Auto,Banashankari,Vijayanagar,2.36,13.36,0,,0,,0,,787,11.12,3.8,3.8
2024-05-28,01:30:04,CNR7256208,Success,312089,Mini,Sahakara Nagar,Yeshwanthpur,5.31,8.89,0,,0,,0,,557,12.38,4.4,4.7
2024-05-11,23:33:52,CNR4163933,Success,116791,Auto,Yeshwanthpur,CV Raman Nagar,1.42,4.72,0,,0,,0,,571,15.04,3.5,4.7
2024-05-07,19:20:10,CNR7298806,Cancelled by System,713333,Prime Sedan,Rajajinagar,Yeshwanthpur,,,0,,0,,0,,,,,
2024-05-11,15:59:57,CNR6920258,Cancelled by Driver,190886,Mini,Kammanahalli,Koramangala,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-05,07:59:41,CNR3036200,Cancelled by Driver,538094,Prime SUV,Vidyaranyapura,JP Nagar,,,0,,1,More than permitted people in there,0,,,,,
2024-05-15,14:45:37,CNR4186146,Cancelled by Driver,815089,Bike,HSR Layout,Indiranagar,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-05,08:49:38,CNR4479685,Cancelled by Driver,313422,Prime Sedan,Frazer Town,Gokula,,,0,,1,Customer related issue,0,,,,,
2024-05-03,18:53:24,CNR3802099,Success,600427,Mini,Brookefield,Domlur,3.64,5.73,0,,0,,0,,66,39.63,3.8,4
2024-05-07,10:35:40,CNR9220552,Success,132709,Bike,RT Nagar,Vijayanagar,2.15,5.34,0,,0,,0,,753,44.26,4.1,4.1
2024-05-17,18:31:28,CNR4789946,Success,795441,Auto,Vijayanagar,Peenya,1.04,7.24,0,,0,,0,,408,22.03,4.3,4.7
2024-05-30,04:16:22,CNR6971675,Success,394724,eBike,Bannerghatta Road,JP Nagar,4.59,2.96,0,,0,,0,,122,35,3.4,4.1
2024-05-06,10:43:41,CNR6842437,Success,243167,Auto,Jayanagar,Langford Town,1.75,7.94,0,,0,,0,,365,22.41,3.2,3.9
2024-05-06,06:55:46,CNR3994946,Success,481530,Mini,Jalahalli,Bellandur,3.31,12.9,0,,0,,0,,151,17.57,3.4,3.6
2024-05-09,13:18:14,CNR3384742,Success,766715,Auto,Rajajinagar,Jalahalli,7.84,6.15,0,,0,,0,,439,8.8,3.9,4.8
2024-05-04,05:44:20,CNR4199559,Success,479298,Prime Sedan,Frazer Town,Banashankari,8.7,12.4,0,,0,,0,,219,11.38,4.4,4.1
2024-05-03,17:07:16,CNR9414921,Success,146491,Bike,Kadugodi,Gokula,1.2,7.74,0,,0,,0,,462,4.24,3.5,4.3
2024-05-19,05:10:59,CNR1987037,Success,549645,Bike,Peenya,Basavanagudi,9.35,3.36,0,,0,,0,,484,28.64,3.4,3.6
2024-05-31,01:41:58,CNR3378261,Cancelled by Driver,634056,Prime Plus,Varthur,Bennigana Halli,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-25,23:00:27,CNR3212155,Success,345162,eBike,Jalahalli,Langford Town,8.71,9.19,0,,0,,0,,739,43.08,3.7,3.7
2024-05-18,06:32:51,CNR4248001,Success,350044,Prime Plus,Indiranagar,JP Nagar,2.37,3.48,0,,0,,0,,244,20.54,4.9,4.7
2024-05-24,19:19:21,CNR8366764,Success,214278,Prime Plus,Bennigana Halli,Richmond Town,5.98,3.54,0,,0,,0,,313,34.19,4.4,4.7
